"NÚMERO DE REGISTRO";"TÍTULO";"DESCRIÇÃO";"CLASSE THESAURUS";"CLASSE";"REFERÊNCIA DE AQUISIÇÃO";"FONTE";"FORMA DE AQUISIÇÃO";"VALOR";"SETOR"
309.331;"Bloco";"Bloco de concreto pra calçamento intertravado, parte da residência do Sr. João.";"04.4";"04.4 - FRAGMENTO DE CONSTRUCAO";"249/2017";"Sandra Maria de Souza Teixeira";"Doa&ccedil;&atilde;o";50;"RESERVA TÉCNICA"
309.333;"Grade";"Grade de janela em ferro, parte da residência da Srª. Mainha, que se situava à Rua Gilles Villeneuve.";"04.4";"04.4 - FRAGMENTO DE CONSTRUCAO";"249/2017";"Sandra Maria de Souza Teixeira";"Doa&ccedil;&atilde;o";50;"RESERVA TÉCNICA"
309.334;"Tijolo (fragmento)";"Fragmento de tijolo maciço, parte de residência não identificada.";"04.4";"04.4 - FRAGMENTO DE CONSTRUCAO";"249/2017";"Sandra Maria de Souza Teixeira";"Doa&ccedil;&atilde;o";50;"RESERVA TÉCNICA"
309.335;"Azulejo";"Azulejo de piscina, parte da residência da Srª. Nadilse.";"04.4";"04.4 - FRAGMENTO DE CONSTRUCAO";"249/2017";"Sandra Maria de Souza Teixeira";"Doa&ccedil;&atilde;o";50;"RESERVA TÉCNICA"
309.324;"Leito";"Leito (catre) da Fazenda Cachoeira Grande, que pertenceu ao Barão de Vassouras.";"05.5";"05.5 - PECA DE MOBILIARIO";"231/2017";"Luiza Leite Bruno Lobo";"Doa&ccedil;&atilde;o";2000;"RESERVA TÉCNICA"
308.991;"Copo";"Copo (para licor?) da Cristais Hering, com logotipo da empresa aérea Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";150;"RESERVA TÉCNICA"
308.992;"Copo";"Copo (para licor?) da Cristais Hering, com logotipo da empresa aérea Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";150;"RESERVA TÉCNICA"
308.993;"Copo de conhaque";"Copo de conhaque da Cristais Hering, com logotipo da empresa aérea Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";150;"RESERVA TÉCNICA"
308.994;"Copo de conhaque";"Copo de conhaque da Cristais Hering, com logotipo da empresa aérea Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";150;"RESERVA TÉCNICA"
308.995;"Copo";"Copo da Cristais Hering, com logotipo da empresa aérea Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";150;"RESERVA TÉCNICA"
308.996;"Copo";"Copo da Cristais Hering, com logotipo da empresa aérea Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";150;"RESERVA TÉCNICA"
308.997;"Copo";"Copo de vidro, em formato cônico invertido. Faz parte do conjunto de bandeja de melamina para refeição em avião.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";150;"RESERVA TÉCNICA"
308.998;"Copo";"Copo de vidro, em formato cônico invertido. Faz parte do conjunto de bandeja de melamina para refeição em avião.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";150;"RESERVA TÉCNICA"
308.999;"Copo";"Copo pequeno da Cristais Hering, com logotipo da empresa aérea Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";150;"RESERVA TÉCNICA"
309.000;"Garfo";"Garfo de aço inox, da Radio Inox, com as inscrições ""A frota Bandeirante do Brasil"" na frente e ""Radio Inox"" e ""Panair do Brasil"" no verso.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";40;"RESERVA TÉCNICA"
309.001;"Garfo";"Garfo de aço inox, da Radio Inox, com as inscrições ""A frota Bandeirante do Brasil"" na frente e ""Radio Inox"" e ""Panair do Brasil"" no verso.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";40;"RESERVA TÉCNICA"
309.002;"Faca";"Faca de aço inox, da Radio Inox, com as inscrições ""Radio Inox"" e ""Panair do Brasil"" na face 1 e ""A frota Bandeirante"" na face 2.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";40;"RESERVA TÉCNICA"
309.003;"Faca";"Faca de aço inox, da Radio Inox, com as inscrições ""Radio Inox"" e ""Panair do Brasil"" na face 1 e ""A frota Bandeirante"" na face 2.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";40;"RESERVA TÉCNICA"
309.004;"Colher de café";"Colher de café de aço inox, da Radio Inox, com as inscrições ""A frota Bandeirante do Brasil"" na frente e ""Radio Inox"" e ""Panair do Brasil"" no verso.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";40;"RESERVA TÉCNICA"
309.005;"Colher de sopa";"Colher de sopa de aço inox, da Radio Inox, com as inscrições ""A frota Bandeirante do Brasil"" na frente e ""Radio Inox"" e ""Panair do Brasil"" no verso.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";40;"RESERVA TÉCNICA"
309.006;"Colher de sopa";"Colher de sopa de aço inox, da Radio Inox, com as inscrições ""A frota Bandeirante do Brasil"" na frente e ""Radio Inox"" e ""Panair do Brasil"" no verso.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";40;"RESERVA TÉCNICA"
309.007;"Taça de sobremesa";"Taça de sobremesa de prata, para sorvete, da Fracalanza (SP), com as inscrições ""Panair do Brasil"" e 'A frota Bandeirante"" na parte externa e ""Fracalanza"" na parte interna.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";90;"RESERVA TÉCNICA"
309.008;"Taça de sobremesa";"Taça de sobremesa de prata, para sorvete, da Fracalanza (SP), com as inscrições ""Panair do Brasil"" e 'A frota Bandeirante"" na parte externa e ""Fracalanza"" na parte interna.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";90;"RESERVA TÉCNICA"
309.009;"Guardanapo";"Guardanapo, de linho, na cor azul clara com inscrição em bordado ""Panair""";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";120;"RESERVA TÉCNICA"
309.010;"Guardanapo";"Guardanapo, de linho, na cor azul clara com inscrição em bordado ""Panair""";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";120;"RESERVA TÉCNICA"
309.011;"Guardanapo";"Guardanapo, de linho, na cor azul clara com inscrição em bordado ""Panair""";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";120;"RESERVA TÉCNICA"
309.012;"Guardanapo";"Guardanapo, de linho, na cor azul clara com inscrição em bordado ""Panair""";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";120;"RESERVA TÉCNICA"
309.030;"Prato";"Prato de louça, da Taurand, na cor verde, com borda e inscrições em dourado. Utilizado nos voos da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";250;"RESERVA TÉCNICA"
309.031;"Prato";"Prato de louça, da Taurand, na cor verde, com inscrições e logotipo da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";250;"RESERVA TÉCNICA"
309.032;"Prato";"Prato de louça, da Taurand, na cor verde, com borda e inscrições em dourado. Utilizado nos voos da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";250;"RESERVA TÉCNICA"
309.033;"Xícara de chá (conjunto)";"Xícara de chá com pires, louça Rosenthal, com frisos em prata e dourado na borda e logotipo da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";180;"RESERVA TÉCNICA"
309.034;"Xícara de café (conjunto)";"Xícara de café com pires Barão do Rio Branco, de louça, com frisos dourados, e inscrições e logotipo da Panair do Brasil S. A. em dourado. Inscrições na base na cor verde.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";180;"RESERVA TÉCNICA"
309.035;"Xícara de café (conjunto)";"Xícara de café com pires, Porcelana Schmidt, com frisos dourados, e inscrições e logotipo da Panair do Brasil S. A. em dourado. Inscrições na base na cor verde.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";180;"RESERVA TÉCNICA"
309.036;"Xícara de café (conjunto)";"Xícara de café com pires, Porcelana Schmidt, com frisos dourados, e inscrições e logotipo da Panair do Brasil S. A. em dourado. Inscrições na base na cor verde.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";180;"RESERVA TÉCNICA"
309.037;"Travessa";"Travessa grande de louça Rosenthal, com frisos dourado e prateado na borda, logotipo da Panair do Brasil S. A. prateado e inscrições na cor verde.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";300;"RESERVA TÉCNICA"
309.038;"Travessa";"Travessa grande Rosenthal, com frisos prateado e dourado na borda, logotipo da Panair do Brasil S. A. prateado e inscrições na cor verde.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";300;"RESERVA TÉCNICA"
309.039;"Prato de salada";"Prato de salada Rosenthal, em formato em meia lua, com frisos dourado e prateado na borda, logotipo da Panair do Brasil S. A. prateado e inscrições na cor verde. Louça branca esmaltada.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";250;"RESERVA TÉCNICA"
309.040;"Prato de sobremesa";"Prato de sobremesa, porcelana Rosenthal, na cor branca e esmaltada, com frisos dourado e prateado na borda e logotipo prateado da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";230;"RESERVA TÉCNICA"
309.041;"Prato de salada";"Prato de salada Rosenthal, em formato em meia lua, com frisos dourado e prateado na borda, logotipo da Panair do Brasil S. A. prateado e inscrições na cor verde. Louça branca esmaltada.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";250;"RESERVA TÉCNICA"
309.042;"Prato de sobremesa";"Prato de sobremesa, porcelana Rosenthal, na cor branca e esmaltada, com frisos dourado e prateado na borda e logotipo prateado da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";230;"RESERVA TÉCNICA"
309.043;"Prato de salada";"Prato de salada Rosenthal, em formato em meia lua, com frisos dourado e prateado na borda, logotipo da Panair do Brasil S. A. prateado e inscrições na cor verde. Louça branca esmaltada.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";250;"RESERVA TÉCNICA"
309.044;"Prato de pão";"Prato de pão, pequeno e raso, porcelana Rosenthal, na cor branca e esmaltada, com frisos dourado e prateado na borda e logotipo prateado da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";230;"RESERVA TÉCNICA"
309.045;"Prato de pão";"Prato de pão, pequeno e raso, porcelana Rosenthal, na cor branca e esmaltada, com frisos dourado e prateado na borda e logotipo prateado da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";230;"RESERVA TÉCNICA"
309.046;"Prato de pão";"Prato de pão, pequeno e raso, porcelana Rosenthal, na cor branca e esmaltada, com frisos dourado e prateado na borda e logotipo prateado da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";230;"RESERVA TÉCNICA"
309.047;"Prato de sobremesa";"Prato de sobremesa, porcelana Rosenthal, na cor branca e esmaltada, com frisos dourado e prateado na borda e logotipo prateado da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";230;"RESERVA TÉCNICA"
309.048;"Prato de sobremesa";"Prato de sobremesa, porcelana Rosenthal, na cor branca e esmaltada, com frisos dourado e prateado na borda e logotipo prateado da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";230;"RESERVA TÉCNICA"
309.049;"Prato de pão";"Prato de pão, pequeno e raso, porcelana Rosenthal, na cor branca e esmaltada, com frisos dourado e prateado na borda e logotipo prateado da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";230;"RESERVA TÉCNICA"
309.050;"Xícara de café (conjunto)";"Xícara de café com pires, louça Rosenthal, com frisos em prata e dourado na borda e logotipo da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";180;"RESERVA TÉCNICA"
309.051;"Xícara de café (conjunto)";"Xícara de café com pires, louça Rosenthal, com frisos em prata e dourado na borda e logotipo da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";180;"RESERVA TÉCNICA"
309.052;"Xícara de café (conjunto)";"Xícara de café com pires, louça Rosenthal, com frisos em prata e dourado na borda e logotipo da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";180;"RESERVA TÉCNICA"
309.053;"Xícara de café (conjunto)";"Xícara de café com pires, louça Rosenthal, com frisos em prata e dourado na borda e logotipo da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";180;"RESERVA TÉCNICA"
309.054;"Prato raso";"Prato raso, porcelana Rosenthal, na cor branca e esmaltada, com frisos dourado e prateado na borda e logotipo prateado da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";250;"RESERVA TÉCNICA"
309.055;"Xícara de consomê";"Xícara de consomê com pires, louça Rosenthal, com frisos em prata e dourado na borda e logotipo da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";180;"RESERVA TÉCNICA"
309.056;"Tigela";"Tigela de cerâmica esmaltada, da Frota Bandeirante, Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";200;"RESERVA TÉCNICA"
309.057;"Xícara de chá (conjunto)";"Xícara de chá com pires, em cerâmica esmaltada, com friso na cor verde e logotipo da Frota Bandeirante da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";180;"RESERVA TÉCNICA"
309.058;"Xícara de café (conjunto)";"Xícara de café com pires, em cerâmica esmaltada, com friso na cor verde e logotipo da Frota Bandeirante da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";180;"RESERVA TÉCNICA"
309.059;"Saleiro";"Saleiro em porcelana, com frisos prateado e dourado e logomarca da da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";100;"RESERVA TÉCNICA"
309.060;"Saleiro";"Saleiro em porcelana, com frisos prateado e dourado e logomarca da da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";100;"RESERVA TÉCNICA"
309.828;"Caneca (miniatura)";"Caneca em miniatura da Panair do Brasil S. A, com logomarca da companhia aérea e imagem da aeronave DC-7C.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.886;"Colher de café";"Colher de café de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.887;"Colher de café";"Colher de café de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.888;"Colher de café";"Colher de café de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.889;"Colher de café";"Colher de café de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.890;"Colher de café";"Colher de café de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.891;"Colher de café";"Colher de café de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.892;"Colher de chá";"Colher de chá de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.893;"Colher de chá";"Colher de chá de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.894;"Colher de chá";"Colher de chá de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.895;"Colher de chá";"Colher de chá de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.896;"Colher de chá";"Colher de chá de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.897;"Colher de chá";"Colher de chá de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.898;"Garfo de sobremesa";"Garfo de sobremesa de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.899;"Garfo de sobremesa";"Garfo de sobremesa de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.900;"Garfo de sobremesa";"Garfo de sobremesa de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.901;"Garfo de sobremesa";"Garfo de sobremesa de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.902;"Garfo de sobremesa";"Garfo de sobremesa de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
